name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,socket,purpose,performance_score
AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,None,True,AM4,Gaming,36.66180758017493
AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,None,True,AM4,Gaming,27.592276802904454
Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,True,LGA1700,Gaming,38.560322088018886
Intel Core i9-13900K,568.99,24,3.0,5.8,125,Intel UHD Graphics 770,True,LGA1700,Gaming,53.67902262945994
AMD Ryzen 7 7800X3D,439.0,8,4.2,5.0,120,Radeon,True,AM4,Gaming,24.887357540418765
Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,True,LGA1700,Gaming,34.62793280577537
AMD Ryzen 5 5600,138.0,6,3.5,4.4,65,None,True,AM4,Office,35.932944606414
Intel Core i5-12400F,149.97,6,2.5,4.4,65,None,True,LGA1700,Office,33.74635568513119
AMD Ryzen 7 7700X,299.0,8,4.5,5.4,105,Radeon,True,AM4,Gaming,29.180648000440065
AMD Ryzen 5 7600X,229.0,6,4.7,5.3,105,Radeon,True,AM4,Gaming,24.823972715770946
AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,None,True,AM4,Gaming,26.866164255459598
Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True,LGA1700,Gaming,30.8482576704151
AMD Ryzen 5 7600,212.52,6,3.8,5.1,65,Radeon,True,AM4,Gaming,37.609329446064145
AMD Ryzen 5 5500,99.0,6,3.6,4.2,65,None,True,AM4,Office,35.86005830903791
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,None,True,AM4,Office,35.86005830903791
AMD Ryzen 7 5700X,178.0,8,3.4,4.6,65,None,True,AM4,Gaming,43.29446064139941
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True,LGA1700,Gaming,27.068582535054837
AMD Ryzen 5 5600G,139.0,6,3.9,4.4,65,Radeon Vega 7,True,AM4,Office,36.80758017492711
Intel Core i5-13400F,208.98,10,2.5,4.6,65,None,True,LGA1700,Gaming,48.61516034985423
AMD Ryzen 9 7900X,419.99,12,4.7,5.6,170,Radeon,True,AM4,Gaming,23.99621502736433
AMD Ryzen 9 5900X,349.0,12,3.7,4.8,105,None,True,AM4,Gaming,36.623301611749824
Intel Core i3-12100F,88.12,4,3.3,4.3,58,None,True,LGA1700,Office,31.39052231061916
Intel Core i5-13600KF,289.99,14,3.5,5.1,125,None,True,LGA1700,Gaming,34.62793280577537
AMD Ryzen 9 7950X3D,557.0,16,4.2,5.7,120,Radeon,True,AM4,Gaming,41.34640869334746
AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,True,AM4,Gaming,44.16909620991254
AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,True,AM4,Gaming,29.509999488517213
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,LGA1700,Gaming,38.17853672081077
AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,None,True,AM4,Office,35.714285714285715
Intel Core i7-13700KF,382.84,16,3.4,5.4,125,None,True,LGA1700,Gaming,38.560322088018886
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,LGA1700,Gaming,63.48396501457726
AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True,AM4,Gaming,44.75218658892129
Intel Core i5-10400F,114.64,6,2.9,4.3,65,None,True,LGA1200,Office,34.475218658892125
AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,None,True,AM4,Office,43.440233236151606
Intel Core i3-13100F,118.99,4,3.4,4.5,58,None,True,LGA1700,Office,31.961259079903144
AMD Threadripper 3990X,4483.0,64,2.9,4.3,280,None,True,sTRX4,Design,57.743066723384835
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,None,True,LGA1700,Gaming,30.8482576704151
AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,None,True,AM4,Gaming,45.38203421530337
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,None,True,LGA1700,Gaming,53.67902262945994
AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True,AM4,Office,36.07871720116619
Intel Core i3-10100F,75.83,4,3.6,4.3,65,None,True,LGA1200,Office,28.717201166180757
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True,LGA1700,Office,33.74635568513119
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,LGA1700,Gaming,48.61516034985423
AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,None,True,AM4,Office,28.717201166180757
AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True,AM4,Gaming,59.47521865889213
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,None,True,LGA1700,Gaming,27.068582535054837
Intel Core i5-11400F,130.97,6,2.6,4.4,65,None,True,LGA1700,Office,33.96501457725948
AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True,AM4,Gaming,33.55420090113967
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,LGA1151,Gaming,27.605685131195333
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,None,True,AM4,Office,34.98542274052478
Intel Core i7-11700K,272.87,8,3.6,5.0,125,Intel UHD Graphics 750,True,LGA1200,Gaming,23.212550326252952
AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False,AM4,Office,25.708984892658357
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,None,True,AM4,General,25.154883381924197
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True,LGA1200,Gaming,23.517978620019438
Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True,LGA1151,Gaming,30.466472303207002
Intel Core i5-11600K,184.0,6,3.9,4.9,125,Intel UHD Graphics 750,True,LGA1200,Gaming,19.66194641121755
AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,None,True,AM4,Design,27.093074426536116
AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,None,True,AM4,Gaming,36.577919577534516
Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,LGA1151,Gaming,25.305211370262395
Intel Core i7-13700,379.0,16,2.1,5.2,65,Intel UHD Graphics 770,True,LGA1700,Gaming,70.48104956268222
Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,True,LGA1700,Office,30.361324857811972
Intel Core i5-9400F,135.0,6,2.9,4.1,65,None,False,LGA1151,Office,31.076066790352503
Intel Core i7-13700F,349.99,16,2.1,5.2,65,None,True,LGA1700,Gaming,70.48104956268222
Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True,LGA1151,General,21.75180631258715
Intel Core i3-13100,138.94,4,3.4,4.5,60,Intel UHD Graphics 730,True,LGA1700,Office,30.913348946135827
Intel Core i7-12700F,284.99,12,2.1,4.9,65,None,True,LGA1700,Gaming,55.466472303207
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,None,True,AM4,Gaming,27.54689476868915
Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True,LGA1200,Gaming,23.327085936415386
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True,LGA1200,Office,34.475218658892125
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True,LGA1200,Gaming,27.374010828821323
Intel Core i7-10700F,218.13,8,2.9,4.8,65,None,True,LGA1200,Gaming,42.49271137026239
Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True,LGA1151,General,21.12435036126252
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False,LGA1151,Gaming,22.913629737609334
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True,AM4,Office,28.79008746355685
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True,LGA1200,Gaming,19.814660558100787
AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,None,True,AM4,General,24.653790087463555
Intel Core i9-10850K,249.63,10,3.6,5.2,125,Intel UHD Graphics 630,True,LGA1200,Gaming,27.183118145217264
AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,None,True,AM4,Office,28.134110787172006
Intel Core i5-11400,144.88,6,2.6,4.4,65,Intel UHD Graphics 730,True,LGA1700,Office,33.96501457725948
Intel Core i7-11700,194.99,8,2.5,4.9,65,Intel UHD Graphics 750,True,LGA1200,Gaming,41.76384839650145
AMD Ryzen 9 3950X,575.0,16,3.5,4.7,105,None,True,AM4,Gaming,45.33665218108806
Intel Core i3-10105F,78.05,4,3.7,4.4,65,None,True,LGA1200,Office,29.081632653061227
Intel Core i9-13900,559.99,24,2.0,5.6,65,Intel UHD Graphics 770,True,LGA1700,Gaming,100.0
Intel Core i7-8700,313.0,6,3.2,4.6,65,Intel UHD Graphics 630,True,LGA1151,Gaming,35.56851311953353
Intel Core i5-8400,185.0,6,2.8,4.0,65,Intel UHD Graphics 630,False,LGA1151,Office,30.74476543864299
Intel Core i9-12900KF,398.99,16,3.2,5.2,125,None,True,LGA1700,Gaming,38.17853672081077
Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,True,LGA1700,Gaming,55.466472303207
Intel Core i5-6600K,188.0,4,3.5,3.9,91,Intel HD Graphics 530,False,LGA1151,General,18.20572949676765
Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,True,LGA1700,Gaming,32.23987797578824
AMD Ryzen 5 1600 (14nm),250.0,6,3.2,3.6,65,None,True,AM4,Office,34.11078717201167
AMD Ryzen 7 2700,185.0,8,3.2,4.1,65,None,True,AM4,Office,42.12827988338193
Intel Core i5-6500,140.0,4,3.2,3.6,65,Intel HD Graphics 530,False,LGA1151,Office,24.383779485820305
Intel Core i7-7700,245.0,4,3.6,4.2,65,Intel HD Graphics 630,True,LGA1151,Office,28.571428571428566
AMD Threadripper 3970X,2300.98,32,3.7,4.5,280,None,True,sTRX4,Gaming,30.83168193561105
Intel Core i7-11700KF,260.0,8,3.6,5.0,125,None,True,LGA1200,Gaming,23.212550326252952
Intel Core i3-9100F,110.0,4,3.6,4.2,65,None,False,LGA1200,Office,25.97402597402597
Intel Core i7-11700F,223.57,8,2.5,4.9,65,None,True,LGA1200,Gaming,41.76384839650145
Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,True,LGA1200,Office,28.717201166180757
Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,False,LGA1151,General,18.819405771939593
Intel Core i7-6700,233.0,4,3.4,4.0,65,Intel HD Graphics 530,True,LGA1151,Office,27.842565597667637
Intel Core i7-10700,239.75,8,2.9,4.8,65,Intel UHD Graphics 630,True,LGA1200,Gaming,42.49271137026239
AMD Ryzen 5 1600 (12nm),140.99,6,3.2,3.6,65,None,True,AM4,Office,34.11078717201167
AMD Threadripper 3960X,1483.0,24,3.8,4.5,280,None,True,sTRX4,Gaming,24.035358932591844
Intel Core i7-3770,143.0,4,3.4,0.0,77,Intel HD Graphics 4000,True,LGA1151,General,18.625252298721687
Intel Core i5-8600K,245.0,6,3.6,4.3,95,Intel UHD Graphics 630,False,LGA1151,General,22.503644314868804
AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,False,AM4,Office,25.11264245958123
Intel Core i9-13900F,499.99,24,2.0,5.6,65,None,True,LGA1700,Gaming,100.0
Intel Core i7-4770,125.0,4,3.4,3.9,84,Intel HD Graphics 4600,True,LGA1151,General,21.505745155204938
Intel Core i5-12500,232.99,6,3.0,4.6,65,Intel UHD Graphics 770,True,LGA1700,Gaming,35.13119533527697
Intel Core i5-7500,132.3,4,3.4,3.8,65,Intel HD Graphics 630,False,LGA1151,Office,25.046382189239328
Intel Core i7-9700,340.0,8,3.0,4.7,65,Intel HD Graphics 630,False,LGA1151,Gaming,38.695997879671346
Intel Core i5-7600K,218.0,4,3.8,4.2,91,Intel HD Graphics 630,False,LGA1151,General,18.918747623272907
Intel Core i9-9900KF,395.0,8,3.6,5.0,95,None,True,LGA1151,Gaming,30.466472303207002
AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,True,AM4,Office,28.134110787172006
AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,None,True,AM4,Office,41.10787172011661
Intel Core i5-10600KF,164.99,6,4.1,4.8,125,None,True,LGA1200,Gaming,19.814660558100787
Intel Xeon E5-2699 V4,387.1,22,2.2,3.6,145,None,True,LGA2011,General,40.7903670274372
Intel Core i7-10700KF,268.66,8,3.8,5.1,125,None,True,LGA1200,Gaming,23.517978620019438
AMD Ryzen 9 3900XT,390.0,12,3.8,4.7,105,None,True,AM4,Gaming,36.668683645965125
Intel Core i5-3470,200.0,4,3.2,0.0,77,Intel HD Graphics 2500,False,LGA1151,General,16.595649248710476
Intel Core i5-7400,153.0,4,3.0,3.5,65,Intel HD Graphics 630,False,LGA1151,Office,23.853697323085076
Intel Core i7-9700F,349.0,8,3.0,4.7,65,None,False,LGA1151,Gaming,38.695997879671346
Intel Core i5-4460,89.54,4,3.2,3.4,84,Intel HD Graphics 4600,False,LGA1151,General,18.72749099639856
Intel Celeron G6900,72.45,2,3.4,0.0,46,Intel UHD Graphics 710,False,LGA1200,General,18.795360089324483
AMD Ryzen 3 3300X,195.0,4,3.8,4.3,65,None,True,AM4,Office,29.154518950437318
Intel Core i9-10900KF,318.95,10,3.7,5.3,125,None,True,LGA1200,Gaming,27.374010828821323
Intel Core i7-9700KF,297.0,8,3.6,4.9,95,None,False,LGA1151,Gaming,27.605685131195333
Intel Core i7-3770K,275.0,4,3.5,0.0,77,Intel HD Graphics 4000,True,LGA1151,General,18.810271361291772
AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,None,True,AM4,General,24.453352769679302
Intel Core i3-10105,104.69,4,3.7,4.4,65,Intel UHD Graphics 630,True,LGA1200,Office,29.081632653061227
Intel Celeron G5900,39.99,2,3.4,0.0,58,Intel UHD Graphics 610,False,LGA1200,General,14.97257498641103
Intel Core i7-4790,319.66,4,3.6,4.0,84,Intel HD Graphics 4600,True,LGA1151,General,21.958497684788203
Intel Core i5-11600KF,206.98,6,3.9,4.9,125,None,True,LGA1200,Gaming,19.66194641121755
Intel Core i7-4770K,192.0,4,3.5,3.9,84,Intel HD Graphics 4600,True,LGA1151,General,21.675527353798664
Intel Core i3-8100,163.0,4,3.6,0.0,65,Intel UHD Graphics 630,False,LGA1200,General,20.408163265306122
AMD Ryzen 7 3800XT,407.95,8,3.9,4.7,105,None,True,AM4,Gaming,27.72842290555036
AMD Ryzen 5 3600XT,389.0,6,3.8,4.5,95,None,True,AM4,Gaming,25.255102040816322
AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,None,True,AM4,General,28.963192419825074
Intel Core i9-10980XE,923.0,18,3.0,4.8,165,None,True,LGA1200,Gaming,31.47107379957146
Intel Core i5-12600,257.99,6,3.3,4.8,65,Intel UHD Graphics 770,True,LGA1700,Gaming,36.07871720116618
Intel Core i5-9400,210.0,6,2.9,4.1,65,Intel UHD Graphics 630,False,LGA1151,Office,31.076066790352503
Intel Celeron G4900,34.99,2,3.1,0.0,65,Intel UHD Graphics 610,False,LGA1200,General,12.788232175987275
Intel Core i7-2600,155.62,4,3.4,0.0,95,Intel HD Graphics 2000,True,LGA1151,General,15.13301749271137
AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,None,True,AM4,General,26.53061224489796
Intel Xeon E5-2650 V4,48.01,12,2.2,2.9,105,None,True,LGA2011,General,32.85659277187964
Intel Core i5-4570,121.16,4,3.2,0.0,84,Intel HD Graphics 4600,False,LGA1151,General,15.22894872234608
Intel Core i5-3570K,125.0,4,3.4,0.0,77,Intel HD Graphics 4000,False,LGA1151,General,16.93204754429244
Intel Core i3-4150,77.14,2,3.5,0.0,54,Intel HD Graphics 4400,True,LGA1155,General,17.930029154518948
Intel Core i5-9600KF,230.0,6,3.7,4.6,95,None,False,LGA1151,Gaming,22.913629737609334
Intel Core i5-2400,170.99,4,3.1,0.0,95,Intel HD Graphics 2000,False,LGA1155,General,13.347303206997083
Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,True,LGA1151,Gaming,23.30083819241983
Intel Pentium E2220,22.99,2,2.4,0.0,65,None,False,LGA1151,General,11.396766498807311
Intel Core i5-8500,258.27,6,3.0,4.1,65,Intel UHD Graphics 630,False,LGA1151,Office,31.274847601378212
AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,None,True,AM4,Office,27.623906705539355
Intel Pentium Gold G7400,89.99,2,3.7,0.0,46,Intel UHD Graphics 710,True,LGA1200,General,21.59605483530798
AMD Athlon 3000G (14nm),98.99,2,3.5,0.0,35,Radeon Vega 3,True,AM4,General,27.39310009718173
AMD Threadripper 1950X,541.64,16,3.4,4.0,180,None,True,sTR4,Design,26.098932074803088
Intel Pentium Gold G6400,53.94,2,4.0,0.0,58,Intel UHD Graphics 610,True,LGA1200,General,17.937441320353805
AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,None,True,AM4,Design,29.46428571428572
Intel Core i3-6100,100.0,2,3.7,0.0,51,Intel HD Graphics 530,True,LGA1200,General,19.519511101143756
AMD Ryzen 3 1200 (14nm),115.0,4,3.1,3.4,65,None,False,AM4,General,23.91995759342698
Intel Xeon E5-2660,28.99,8,2.2,3.0,95,None,True,LGA2011,General,26.35750728862974
Intel Core i5-4690,100.12,4,3.5,3.9,84,Intel HD Graphics 4600,False,LGA1151,General,19.705024867089687
Intel Core i9-12900F,432.0,16,2.4,5.1,65,None,True,LGA1700,Gaming,70.99125364431487
Intel Core 2 Duo E8400,27.55,2,3.0,0.0,65,None,False,LGA1151,General,12.589451364961565
AMD Threadripper 1900X,179.99,8,3.8,4.0,180,None,True,sTR4,Design,15.786930399626307
